part	volume	minorpart	time
5	7	1	2023-08-28 21:00:00
5	7	2	2023-09-04 21:00:00
5	7	3	2023-09-11 21:00:00
5	7	4	2023-09-18 21:00:00
5	7	5	2023-09-25 21:00:00
5	7	6	2023-10-02 21:00:00
5	7	7	2023-10-09 21:00:00
5	7	8	2023-10-16 21:00:00
5	8	1	2023-10-23 21:00:00
5	8	2	2023-10-30 21:00:00
5	8	3	2023-11-06 22:00:00
5	8	4	2023-11-13 22:00:00
5	8	5	2023-11-20 22:00:00
5	8	6	2023-11-27 22:00:00
5	8	7	2023-12-04 22:00:00
5	8	8	2023-12-11 22:00:00
5	9	1	2023-12-18 22:00:00
5	9	2	2023-12-25 22:00:00
5	9	3	2024-01-01 22:00:00
5	9	4	2024-01-08 22:00:00
5	9	5	2024-01-15 22:00:00
5	9	6	2024-01-22 22:00:00
5	9	7	2024-01-29 22:00:00
5	9	8	2024-02-05 22:00:00
5	10	1	2024-02-12 22:00:00
5	10	2	2024-02-19 22:00:00
5	10	3	2024-02-26 22:00:00
5	10	4	2024-03-04 22:00:00
5	10	5	2024-03-11 21:00:00
5	10	6	2024-03-18 21:00:00
5	10	7	2024-03-25 21:00:00
5	10	8	2024-04-01 21:00:00
5	11	1	2024-04-08 21:00:00
5	11	2	2024-04-15 21:00:00
5	11	3	2024-04-22 21:00:00
5	11	4	2024-04-29 21:00:00
5	11	5	2024-05-06 21:00:00
5	11	6	2024-05-13 21:00:00
5	11	7	2024-05-20 21:00:00
5	11	8	2024-05-27 21:00:00
5	12	1	2024-06-03 21:00:00
5	12	2	2024-06-10 21:00:00
5	12	3	2024-06-17 21:00:00
5	12	4	2024-06-24 21:00:00
5	12	5	2024-07-01 21:00:00
5	12	6	2024-07-08 21:00:00
5	12	7	2024-07-15 21:00:00
5	12	8	2024-07-22 21:00:00
